user_id,persona,occupation,monthly_income,monthly_expenses,savings,average_balance,digital_transactions,cash_transactions,income_variance,expense_ratio,savings_ratio,emi_ratio,missed_payments,income_growth,financial_tier
GL00047,Rajesh,Delivery Partner,36502,23671,6222,20804,100,26,Medium,0.6485,0.1705,0.1569,0,Declining,Building
GL00048,Rajesh,Delivery Partner,41851,25005,5156,12102,75,17,Low,0.5975,0.1232,0.2881,0,Declining,Building
GL00049,Rajesh,Delivery Partner,36053,18379,4639,14618,78,20,Medium,0.5098,0.1287,0.2917,1,Stable,Building
GL00050,Rajesh,Delivery Partner,40261,29926,4915,8657,111,25,Medium,0.7433,0.1221,0.1757,0,Stable,Building
GL00051,Rajesh,Delivery Partner,44926,27189,4383,14767,70,25,Medium,0.6052,0.0976,0.16,2,Declining,Building
GL00052,Rajesh,Delivery Partner,33565,29298,3450,19602,129,15,Low,0.8729,0.1028,0.1612,0,Stable,Building
GL00053,Rajesh,Delivery Partner,34906,32183,2076,12244,97,15,Low,0.922,0.0595,0.2461,1,Stable,Building
GL00054,Rajesh,Delivery Partner,33012,18780,3051,19945,76,19,Low,0.5689,0.0924,0.2588,2,Declining,Building
GL00055,Rajesh,Delivery Partner,34170,32475,1610,17475,82,17,Medium,0.9504,0.0471,0.1328,0,Declining,Building
GL00056,Rajesh,Delivery Partner,33072,27668,3439,18665,125,22,Medium,0.8366,0.104,0.2846,2,Declining,Building
GL00057,Rajesh,Delivery Partner,38370,31087,5037,15249,128,15,Low,0.8102,0.1313,0.1876,2,Stable,Building
GL00058,Rajesh,Delivery Partner,32614,17702,3900,17672,126,16,Low,0.5428,0.1196,0.2598,0,Stable,Building
GL00059,Rajesh,Delivery Partner,38922,37945,928,16892,93,26,Medium,0.9749,0.0238,0.2866,1,Stable,Building
GL00060,Rajesh,Delivery Partner,39081,22733,2047,11008,86,19,Medium,0.5817,0.0524,0.1876,3,Stable,Building
GL00061,Rajesh,Delivery Partner,44870,27868,3991,15245,105,18,Medium,0.6211,0.0889,0.1128,0,Declining,Emerging
GL00062,Rajesh,Delivery Partner,39325,36477,2088,18287,113,30,Medium,0.9276,0.0531,0.1906,0,Declining,Building
GL00063,Rajesh,Delivery Partner,42400,19711,3099,13489,133,25,Medium,0.4649,0.0731,0.2985,3,Stable,Building
GL00064,Rajesh,Delivery Partner,43066,37359,2926,18987,103,21,Medium,0.8675,0.0679,0.1341,2,Declining,Building
GL00065,Rajesh,Delivery Partner,44592,20057,3177,14548,138,29,Low,0.4498,0.0712,0.1349,1,Stable,Building
GL00066,Rajesh,Delivery Partner,32161,16029,2417,18333,90,25,Medium,0.4984,0.0752,0.2769,1,Stable,Building
GL00067,Rajesh,Delivery Partner,36251,28290,7486,18416,103,20,Medium,0.7804,0.2065,0.1006,1,Stable,Building
GL00068,Rajesh,Delivery Partner,36092,33576,2103,15505,133,19,Medium,0.9303,0.0583,0.2919,2,Stable,Building
GL00069,Rajesh,Delivery Partner,38402,24362,7601,14759,120,28,High,0.6344,0.1979,0.2348,3,Stable,Building
GL00070,Rajesh,Delivery Partner,34480,25839,3904,13123,101,23,Medium,0.7494,0.1132,0.2629,0,Declining,Building
GL00071,Rajesh,Delivery Partner,40416,25672,6806,13671,132,20,Medium,0.6352,0.1684,0.135,2,Declining,Building
GL00072,Rajesh,Delivery Partner,34161,33481,646,15283,97,27,Low,0.9801,0.0189,0.1321,2,Stable,Building
GL00073,Rajesh,Delivery Partner,39374,30443,2864,11558,98,29,Low,0.7732,0.0727,0.2279,2,Stable,Building
GL00074,Rajesh,Delivery Partner,42447,31843,4369,16467,102,16,Medium,0.7502,0.1029,0.1099,3,Stable,Building
GL00075,Rajesh,Delivery Partner,34501,23070,2646,20780,125,29,Low,0.6687,0.0767,0.1069,2,Stable,Building
GL00076,Rajesh,Delivery Partner,44150,28878,3672,15326,133,30,Medium,0.6541,0.0832,0.1181,3,Declining,Building
GL00077,Rajesh,Delivery Partner,41542,35393,3861,11784,71,21,Medium,0.852,0.0929,0.1817,0,Declining,Building
GL00078,Rajesh,Delivery Partner,43394,37622,2422,16116,102,16,Medium,0.867,0.0558,0.1503,1,Stable,Building
GL00079,Rajesh,Delivery Partner,44828,35656,7565,16872,93,29,Low,0.7954,0.1688,0.2697,3,Declining,Building
GL00080,Rajesh,Delivery Partner,32822,30954,1774,18847,116,22,Low,0.9431,0.054,0.255,0,Stable,Building
GL00081,Rajesh,Delivery Partner,37005,29071,3451,11668,106,25,Medium,0.7856,0.0933,0.1179,2,Declining,Building
GL00082,Rajesh,Delivery Partner,43326,22113,4391,19770,118,27,Medium,0.5104,0.1013,0.2246,3,Declining,Building
GL00083,Rajesh,Delivery Partner,44774,28261,7572,12514,126,20,Low,0.6312,0.1691,0.1621,3,Stable,Building
GL00084,Rajesh,Delivery Partner,44618,26092,6068,10720,124,27,High,0.5848,0.136,0.2079,3,Declining,Building
GL00085,Rajesh,Delivery Partner,43525,20835,4485,10104,110,25,Low,0.4787,0.103,0.1239,3,Declining,Building
GL00086,Rajesh,Delivery Partner,39480,26672,6321,18991,99,28,Medium,0.6756,0.1601,0.1659,2,Declining,Building
GL00087,Rajesh,Delivery Partner,41984,40745,1177,10273,96,28,Low,0.9705,0.028,0.2878,1,Declining,Building
GL00088,Rajesh,Delivery Partner,34016,28359,4494,19847,95,27,Medium,0.8337,0.1321,0.1632,1,Declining,Building
GL00089,Rajesh,Delivery Partner,41093,36996,2680,14754,102,15,Medium,0.9003,0.0652,0.1617,2,Stable,Building
GL00090,Rajesh,Delivery Partner,44382,22191,7928,8747,133,19,Medium,0.5,0.1786,0.1679,1,Stable,Building
GL00091,Rajesh,Delivery Partner,35809,16232,7355,20211,90,19,Medium,0.4533,0.2054,0.1318,3,Stable,Emerging
GL00092,Rajesh,Delivery Partner,37051,23953,2847,8100,110,24,Low,0.6465,0.0768,0.1723,1,Declining,Building
GL00093,Rajesh,Delivery Partner,33625,19499,6278,18691,105,18,Low,0.5799,0.1867,0.2876,1,Declining,Building
GL00094,Rajesh,Delivery Partner,35244,18802,7063,8300,103,28,Medium,0.5335,0.2004,0.2743,1,Stable,Building
GL00095,Rajesh,Delivery Partner,37548,31326,2138,10475,136,17,Medium,0.8343,0.0569,0.1664,3,Stable,Building
GL00096,Rajesh,Delivery Partner,41817,36489,4337,14425,110,16,Low,0.8726,0.1037,0.1308,0,Stable,Building
GL00097,Rajesh,Delivery Partner,36935,27690,4719,18045,122,20,Medium,0.7497,0.1278,0.1046,2,Stable,Building
GL00098,Rajesh,Delivery Partner,43098,26087,5889,19192,109,20,Medium,0.6053,0.1366,0.1995,3,Stable,Building
GL00099,Rajesh,Delivery Partner,36038,34574,1390,18003,105,15,Medium,0.9594,0.0386,0.1405,0,Declining,Building
GL00100,Rajesh,Delivery Partner,42605,33206,6317,19131,90,21,Medium,0.7794,0.1483,0.2882,1,Declining,Building
GL00101,Rajesh,Delivery Partner,34091,17403,2667,12263,82,15,Medium,0.5105,0.0782,0.2102,0,Stable,Building
GL00102,Rajesh,Delivery Partner,42405,39398,2558,10858,93,20,Medium,0.9291,0.0603,0.2036,0,Declining,Building
GL00103,Rajesh,Delivery Partner,44782,21513,3658,19664,112,27,Medium,0.4804,0.0817,0.1107,2,Declining,Building
GL00104,Rajesh,Delivery Partner,35850,29518,2292,9405,79,22,Medium,0.8234,0.0639,0.1567,1,Stable,Building
GL00105,Rajesh,Delivery Partner,37994,28993,2222,8445,71,19,Medium,0.7631,0.0585,0.2311,0,Declining,Building
GL00106,Rajesh,Delivery Partner,32628,29926,2371,18157,139,17,Medium,0.9172,0.0727,0.252,1,Declining,Building
GL00107,Rajesh,Delivery Partner,32395,24163,7286,11500,109,16,Medium,0.7459,0.2249,0.2245,0,Stable,Building
GL00108,Rajesh,Delivery Partner,39733,20657,5542,16815,100,19,High,0.5199,0.1395,0.2741,0,Declining,Building
GL00109,Rajesh,Delivery Partner,32639,18313,3065,21215,92,21,High,0.5611,0.0939,0.1878,0,Stable,Building
GL00110,Rajesh,Delivery Partner,40875,27136,3817,12992,124,17,Low,0.6639,0.0934,0.1775,2,Declining,Building
GL00111,Rajesh,Delivery Partner,40330,36978,2888,9768,101,16,Medium,0.9169,0.0716,0.1651,0,Declining,Building
GL00112,Rajesh,Delivery Partner,40462,39357,1049,16769,99,24,Medium,0.9727,0.0259,0.1216,3,Declining,Building
GL00113,Rajesh,Delivery Partner,39538,17835,7531,10217,130,15,Medium,0.4511,0.1905,0.128,3,Stable,Building
GL00114,Rajesh,Delivery Partner,37588,32122,3168,14410,115,26,Medium,0.8546,0.0843,0.1484,0,Declining,Building
GL00115,Rajesh,Delivery Partner,42099,23103,6307,20828,71,29,High,0.5488,0.1498,0.291,2,Stable,Building
GL00116,Rajesh,Delivery Partner,34661,23777,3081,15974,124,19,Low,0.686,0.0889,0.2744,3,Declining,Building
GL00117,Rajesh,Delivery Partner,44411,39401,4651,14260,130,17,High,0.8872,0.1047,0.2,1,Stable,Building
GL00118,Rajesh,Delivery Partner,37289,30427,6270,20159,88,21,Medium,0.816,0.1681,0.2931,0,Declining,Building
GL00119,Rajesh,Delivery Partner,36713,34322,2007,14252,70,15,Medium,0.9349,0.0547,0.1039,1,Stable,Building
GL00120,Rajesh,Delivery Partner,44182,31678,6794,19979,129,25,Medium,0.717,0.1538,0.1609,3,Declining,Building
GL00121,Rajesh,Delivery Partner,34933,19244,3627,16600,88,23,High,0.5509,0.1038,0.1455,3,Declining,Building
GL00122,Rajesh,Delivery Partner,33304,18823,6130,13751,127,21,High,0.5652,0.1841,0.2217,2,Declining,Building
GL00123,Rajesh,Delivery Partner,38554,29852,6300,16405,112,27,Medium,0.7743,0.1634,0.2303,0,Stable,Building
GL00124,Rajesh,Delivery Partner,39802,32052,6544,8896,117,25,Medium,0.8053,0.1644,0.2783,1,Declining,Building
GL00125,Rajesh,Delivery Partner,38072,35669,2224,14198,140,27,High,0.9369,0.0584,0.1714,0,Stable,Building
GL00126,Rajesh,Delivery Partner,39404,24781,2274,15709,107,21,Medium,0.6289,0.0577,0.1987,3,Stable,Building
GL00127,Rajesh,Delivery Partner,32735,25978,6040,8547,80,25,Medium,0.7936,0.1845,0.1318,2,Declining,Building
GL00128,Rajesh,Delivery Partner,33153,23094,3875,12203,81,29,Medium,0.6966,0.1169,0.195,2,Stable,Building
GL00129,Rajesh,Delivery Partner,32687,17137,2019,12434,114,28,High,0.5243,0.0618,0.1887,2,Stable,Building
GL00130,Rajesh,Delivery Partner,35186,26414,2259,18829,125,24,Medium,0.7507,0.0642,0.2955,2,Stable,Building
GL00131,Rajesh,Delivery Partner,38778,24910,7188,15233,74,22,Medium,0.6424,0.1854,0.1521,1,Declining,Building
GL00132,Rajesh,Delivery Partner,40712,35199,4854,17124,73,18,High,0.8646,0.1192,0.1612,3,Declining,Building
GL00133,Rajesh,Delivery Partner,39275,17783,5848,18772,133,23,High,0.4528,0.1489,0.1836,0,Declining,Building
GL00134,Rajesh,Delivery Partner,37345,24068,3566,21634,72,18,Medium,0.6445,0.0955,0.166,0,Declining,Building
GL00135,Rajesh,Delivery Partner,44592,34095,4604,8115,80,15,Medium,0.7646,0.1032,0.2672,1,Stable,Building
GL00136,Rajesh,Delivery Partner,35981,20055,6750,17668,100,18,Medium,0.5574,0.1876,0.2153,0,Stable,Building
GL00137,Rajesh,Delivery Partner,44531,38523,2542,17816,96,16,Medium,0.8651,0.0571,0.1628,1,Declining,Building
GL00138,Rajesh,Delivery Partner,35356,21567,4947,13185,134,20,Medium,0.61,0.1399,0.2896,2,Declining,Building
GL00139,Rajesh,Delivery Partner,34153,23890,6297,11853,130,15,Medium,0.6995,0.1844,0.1768,0,Stable,Building
GL00140,Rajesh,Delivery Partner,37887,31957,3039,16740,126,21,Medium,0.8435,0.0802,0.1703,3,Declining,Building
GL00141,Rajesh,Delivery Partner,38742,19041,3974,20639,89,29,Low,0.4915,0.1026,0.176,0,Stable,Building
GL00142,Rajesh,Delivery Partner,36393,33605,2571,13931,89,30,High,0.9234,0.0706,0.2968,3,Stable,Building
GL00143,Rajesh,Delivery Partner,36726,28811,4812,14094,120,27,Medium,0.7845,0.131,0.1097,2,Stable,Building
GL00144,Rajesh,Delivery Partner,32537,28177,3338,8938,84,25,Medium,0.866,0.1026,0.2739,0,Stable,Building
GL00145,Rajesh,Delivery Partner,33598,23868,5350,15780,89,28,Medium,0.7104,0.1592,0.2381,1,Stable,Building
GL00146,Rajesh,Delivery Partner,33514,25517,7129,13424,135,24,High,0.7614,0.2127,0.2327,1,Declining,Building
GL00147,Rajesh,Delivery Partner,37056,25913,7207,20886,86,20,Medium,0.6993,0.1945,0.2356,3,Declining,Building
GL00148,Rajesh,Delivery Partner,35220,29017,3311,18291,112,27,Medium,0.8239,0.094,0.1226,2,Declining,Building
GL00149,Rajesh,Delivery Partner,35052,32048,2286,13488,129,26,Medium,0.9143,0.0652,0.147,1,Declining,Building
GL00150,Rajesh,Delivery Partner,32792,21144,3189,17125,71,21,Medium,0.6448,0.0972,0.265,2,Declining,Building
GL00151,Rajesh,Delivery Partner,36745,21528,6197,20084,122,22,Medium,0.5859,0.1686,0.2025,1,Declining,Building
GL00152,Rajesh,Delivery Partner,34535,29969,3772,11861,85,21,Medium,0.8678,0.1092,0.2502,3,Stable,Building
GL00153,Rajesh,Delivery Partner,35828,27057,3635,14250,125,30,Medium,0.7552,0.1015,0.1423,3,Stable,Building
GL00154,Rajesh,Delivery Partner,32588,18334,7957,18592,132,16,Medium,0.5626,0.2442,0.2478,1,Stable,Building
GL00155,Rajesh,Delivery Partner,44985,28057,3442,11723,122,18,Medium,0.6237,0.0765,0.2085,1,Declining,Building
GL00156,Rajesh,Delivery Partner,33789,33234,527,18229,114,27,Low,0.9836,0.0156,0.1839,3,Stable,Building
GL00157,Rajesh,Delivery Partner,42843,42016,785,20614,101,21,Medium,0.9807,0.0183,0.2971,1,Declining,Building
GL00158,Rajesh,Delivery Partner,43835,34721,7792,20363,94,28,Medium,0.7921,0.1778,0.1908,0,Stable,Building
GL00159,Rajesh,Delivery Partner,41545,33501,4650,20861,129,20,Medium,0.8064,0.1119,0.1995,0,Declining,Building
GL00160,Rajesh,Delivery Partner,36270,34336,1837,8453,136,18,Medium,0.9467,0.0506,0.1074,2,Stable,Building
GL00161,Rajesh,Delivery Partner,44705,32563,3306,21294,112,21,Low,0.7284,0.074,0.2423,1,Declining,Building
GL00162,Rajesh,Delivery Partner,40501,29464,6504,8094,122,17,Medium,0.7275,0.1606,0.2007,3,Declining,Building
GL00163,Rajesh,Delivery Partner,32405,28561,2193,14994,131,19,Medium,0.8814,0.0677,0.2939,2,Declining,Building
GL00164,Rajesh,Delivery Partner,42211,28635,3429,9386,98,15,Medium,0.6784,0.0812,0.2898,1,Declining,Building
GL00165,Rajesh,Delivery Partner,42677,26438,2790,13125,86,29,Medium,0.6195,0.0654,0.2913,1,Stable,Building
GL00166,Rajesh,Delivery Partner,36349,29682,4928,14342,75,21,Medium,0.8166,0.1356,0.105,1,Declining,Building
GL00167,Rajesh,Delivery Partner,41770,24961,4155,12042,99,24,Medium,0.5976,0.0995,0.1886,1,Stable,Building
GL00168,Rajesh,Delivery Partner,32447,21106,5175,17751,92,19,Medium,0.6505,0.1595,0.2478,3,Declining,Building
GL00169,Rajesh,Delivery Partner,32396,22236,2711,15571,85,19,Medium,0.6864,0.0837,0.2114,0,Stable,Building
GL00170,Rajesh,Delivery Partner,38673,37779,849,15569,104,15,Low,0.9769,0.022,0.2421,2,Declining,Building
GL00171,Rajesh,Delivery Partner,42751,20020,4832,17171,116,18,Medium,0.4683,0.113,0.251,2,Stable,Building
GL00172,Rajesh,Delivery Partner,35067,19297,5823,21308,116,16,Medium,0.5503,0.1661,0.191,3,Declining,Building
GL00173,Rajesh,Delivery Partner,38454,30282,6467,12860,107,20,Medium,0.7875,0.1682,0.1318,2,Declining,Building
GL00174,Rajesh,Delivery Partner,32120,14746,4055,20733,80,16,Medium,0.4591,0.1262,0.1909,1,Declining,Building
GL00175,Rajesh,Delivery Partner,38562,23873,7201,12158,74,17,Low,0.6191,0.1867,0.2533,0,Declining,Building
GL00176,Rajesh,Delivery Partner,41490,32104,4665,20641,120,21,High,0.7738,0.1124,0.2142,3,Stable,Building
GL00177,Rajesh,Delivery Partner,32796,31238,1480,11028,88,30,Low,0.9525,0.0451,0.235,3,Declining,Building
GL00178,Rajesh,Delivery Partner,43759,20606,6106,19737,118,26,Low,0.4709,0.1395,0.2561,0,Stable,Building
GL00179,Rajesh,Delivery Partner,40227,23649,7819,19498,86,16,Medium,0.5879,0.1944,0.11,2,Declining,Building
GL00180,Rajesh,Delivery Partner,32682,20844,5603,13013,116,16,Medium,0.6378,0.1714,0.2427,0,Declining,Building
GL00181,Rajesh,Delivery Partner,32596,20108,6055,16641,131,17,Medium,0.6169,0.1858,0.2528,2,Declining,Building
GL00182,Rajesh,Delivery Partner,37881,33142,3984,12823,117,22,Medium,0.8749,0.1052,0.2471,1,Stable,Building
GL00183,Rajesh,Delivery Partner,33613,29976,2565,17851,89,27,High,0.8918,0.0763,0.2249,1,Stable,Building
GL00184,Rajesh,Delivery Partner,38846,35893,2448,13216,139,23,High,0.924,0.063,0.1618,1,Stable,Building
GL00185,Rajesh,Delivery Partner,44119,19994,7457,19424,109,23,Medium,0.4532,0.169,0.2798,1,Declining,Building
GL00186,Rajesh,Delivery Partner,43845,28551,6782,13771,78,23,Low,0.6512,0.1547,0.287,2,Declining,Building
GL00187,Rajesh,Delivery Partner,40562,38497,1961,18713,73,26,High,0.9491,0.0483,0.2747,0,Stable,Building
GL00188,Rajesh,Delivery Partner,40785,35458,4542,17384,91,24,Medium,0.8694,0.1114,0.2019,1,Declining,Building
GL00189,Rajesh,Delivery Partner,34783,29871,4524,16973,94,27,Medium,0.8588,0.1301,0.1932,0,Stable,Building
GL00190,Rajesh,Delivery Partner,43426,38918,2608,12871,110,16,Medium,0.8962,0.0601,0.1575,0,Declining,Building
GL00191,Rajesh,Delivery Partner,41228,19063,7541,13053,125,30,Medium,0.4624,0.1829,0.2443,2,Declining,Building
GL00192,Rajesh,Delivery Partner,33233,15293,2212,21564,101,17,Medium,0.4602,0.0666,0.2053,3,Stable,Building
GL00193,Rajesh,Delivery Partner,36634,29651,5716,14216,73,22,High,0.8094,0.156,0.1323,2,Declining,Building
GL00194,Rajesh,Delivery Partner,37113,35290,1731,16250,78,22,Medium,0.9509,0.0466,0.2259,0,Declining,Building
GL00195,Rajesh,Delivery Partner,42439,27334,3809,18378,127,26,Medium,0.6441,0.0898,0.2166,1,Declining,Building
GL00196,Rajesh,Delivery Partner,35488,23471,6674,8797,125,16,Medium,0.6614,0.1881,0.1368,2,Declining,Building
GL00197,Rajesh,Delivery Partner,39920,25281,5329,21095,114,15,Medium,0.6333,0.1335,0.2026,0,Declining,Building
GL00198,Rajesh,Delivery Partner,43761,29534,2175,20137,109,16,Medium,0.6749,0.0497,0.2689,0,Declining,Building
GL00199,Rajesh,Delivery Partner,34540,23832,6816,21166,72,22,Medium,0.69,0.1973,0.281,2,Stable,Building
GL00200,Rajesh,Delivery Partner,44797,34887,4427,10016,98,17,Medium,0.7788,0.0988,0.2094,3,Declining,Building
GL00201,Rajesh,Delivery Partner,33572,22399,6137,9899,115,16,Medium,0.6672,0.1828,0.2105,3,Stable,Building
GL00202,Rajesh,Delivery Partner,34655,22619,2557,20118,113,19,Medium,0.6527,0.0738,0.169,3,Declining,Building
GL00203,Rajesh,Delivery Partner,36504,21332,5134,16106,73,20,Medium,0.5844,0.1406,0.1465,3,Stable,Building
GL00204,Rajesh,Delivery Partner,44223,39469,3795,12009,78,16,Medium,0.8925,0.0858,0.1377,2,Declining,Building
GL00205,Rajesh,Delivery Partner,42727,24456,2780,21909,136,30,Medium,0.5724,0.0651,0.2791,1,Stable,Building
GL00206,Rajesh,Delivery Partner,39820,21936,6562,16612,102,23,Low,0.5509,0.1648,0.1002,3,Declining,Building
GL00207,Rajesh,Delivery Partner,32297,22013,7196,15720,83,22,Medium,0.6816,0.2228,0.2616,0,Declining,Building
GL00208,Rajesh,Delivery Partner,32346,20995,6256,15241,126,29,Medium,0.6491,0.1934,0.2583,3,Declining,Building
GL00209,Rajesh,Delivery Partner,41594,34502,5986,10888,85,15,Low,0.8295,0.1439,0.2657,3,Declining,Building
GL00210,Rajesh,Delivery Partner,33023,16035,2127,10539,106,18,Medium,0.4856,0.0644,0.205,1,Stable,Building
GL00211,Rajesh,Delivery Partner,41358,19024,6271,18349,116,24,Medium,0.46,0.1516,0.1449,2,Stable,Building
GL00212,Rajesh,Delivery Partner,35963,26148,5284,16564,74,18,Medium,0.7271,0.1469,0.1399,1,Stable,Building
GL00213,Rajesh,Delivery Partner,33924,18271,5938,19377,120,25,Low,0.5386,0.175,0.2469,2,Stable,Building
GL00214,Rajesh,Delivery Partner,34453,29502,3965,8966,140,15,Low,0.8563,0.1151,0.2609,0,Stable,Building
GL00215,Rajesh,Delivery Partner,33120,25154,2569,13031,112,15,High,0.7595,0.0776,0.2183,1,Stable,Building
GL00216,Rajesh,Delivery Partner,44373,38923,3859,14978,76,23,Medium,0.8772,0.087,0.2338,1,Stable,Building
GL00217,Rajesh,Delivery Partner,33408,23435,3847,15241,128,24,Medium,0.7015,0.1152,0.1282,1,Stable,Building
GL00218,Rajesh,Delivery Partner,33927,26619,3144,15088,108,15,Medium,0.7846,0.0927,0.133,2,Stable,Building
GL00219,Rajesh,Delivery Partner,41130,25977,4290,10511,106,22,Medium,0.6316,0.1043,0.1052,0,Stable,Emerging
GL00220,Rajesh,Delivery Partner,40536,21281,2380,16413,82,17,Medium,0.525,0.0587,0.1719,0,Declining,Building
GL00221,Rajesh,Delivery Partner,32081,15629,7421,10578,92,19,Low,0.4872,0.2313,0.2238,2,Stable,Building
