user_id,occupation,monthly_income,monthly_expenses,savings,average_balance,digital_transactions,cash_transactions,income_variance,expense_ratio,savings_ratio,emi_ratio,financial_buffer,financial_score,missed_payments,income_growth,financial_tier
GL00037,Delivery Partner,40835,36449,3939,12778,104,23,Medium,0.8926,0.0965,0.271,0.3506,3,0,Stable,Building
GL00038,Delivery Partner,40046,35869,2588,14909,103,21,Low,0.8957,0.0646,0.2414,0.4157,3,0,Stable,Building
GL00039,Delivery Partner,41210,36887,2569,16001,74,23,Low,0.8951,0.0623,0.1748,0.4338,0,2,Declining,Building
GL00040,Delivery Partner,35372,26783,5278,9742,112,23,Medium,0.7572,0.1492,0.1552,0.3637,3,0,Declining,Building
GL00041,Delivery Partner,43734,36500,2518,21976,95,20,Medium,0.8346,0.0576,0.2892,0.6021,2,0,Declining,Building
GL00042,Delivery Partner,38940,18079,2424,17645,115,22,Medium,0.4643,0.0622,0.1049,0.976,5,1,Stable,Emerging
GL00043,Delivery Partner,33277,18561,5315,8206,103,25,Medium,0.5578,0.1597,0.2905,0.4421,5,0,Declining,Emerging
GL00044,Delivery Partner,35273,19922,5545,13656,70,15,Medium,0.5648,0.1572,0.2818,0.6855,2,1,Stable,Building
GL00045,Delivery Partner,42865,27879,2427,18850,110,19,Medium,0.6504,0.0566,0.285,0.6761,1,2,Declining,Building
GL00046,Delivery Partner,44390,42734,1573,14340,140,23,Medium,0.9627,0.0354,0.2605,0.3356,3,0,Stable,Building
GL00047,Delivery Partner,33260,15575,6735,8194,73,22,Medium,0.4683,0.2025,0.1626,0.5261,4,3,Declining,Building
GL00048,Delivery Partner,32467,29720,2066,20923,88,25,Medium,0.9154,0.0636,0.1388,0.704,2,1,Stable,Building
GL00049,Delivery Partner,33954,28915,4132,10535,125,29,Medium,0.8516,0.1217,0.2117,0.3643,1,1,Declining,Building
GL00050,Delivery Partner,39048,21730,4015,14634,97,20,Low,0.5565,0.1028,0.1996,0.6734,2,1,Declining,Building
GL00051,Delivery Partner,37401,22006,4081,19155,105,15,Medium,0.5884,0.1091,0.1544,0.8704,3,1,Declining,Building
GL00052,Delivery Partner,34901,27072,6195,15884,82,19,Medium,0.7757,0.1775,0.172,0.5867,0,2,Declining,Building
GL00053,Delivery Partner,33677,16804,2248,17680,70,18,Low,0.499,0.0668,0.1999,1.0521,2,3,Declining,Building
GL00054,Delivery Partner,40217,19577,3680,17088,134,29,High,0.4868,0.0915,0.118,0.8729,5,3,Stable,Emerging
GL00055,Delivery Partner,32698,17405,5155,12498,120,28,Medium,0.5323,0.1577,0.1665,0.7181,3,3,Stable,Building
GL00056,Delivery Partner,43139,19809,6447,10908,109,24,Medium,0.4592,0.1494,0.2685,0.5507,5,0,Declining,Emerging
GL00057,Delivery Partner,43465,25548,3017,12295,137,22,High,0.5878,0.0694,0.2445,0.4813,5,0,Declining,Emerging
GL00058,Delivery Partner,39667,24902,5548,21323,140,27,Medium,0.6278,0.1399,0.1698,0.8563,5,0,Stable,Emerging
GL00059,Delivery Partner,40709,20423,4227,12180,128,16,Medium,0.5017,0.1038,0.1454,0.5964,7,0,Stable,Emerging
GL00060,Delivery Partner,38284,36392,1797,9539,88,22,Medium,0.9506,0.0469,0.21,0.2621,0,3,Declining,Building
GL00061,Delivery Partner,43648,24429,5698,13845,126,29,Medium,0.5597,0.1305,0.2334,0.5667,5,0,Stable,Emerging
GL00062,Delivery Partner,33889,18784,3153,21254,135,22,Medium,0.5543,0.093,0.165,1.1315,5,0,Stable,Emerging
GL00063,Delivery Partner,39252,36343,2078,21009,139,21,Medium,0.9259,0.0529,0.1875,0.5781,3,0,Declining,Building
GL00064,Delivery Partner,42926,29760,2086,19805,70,17,Low,0.6933,0.0486,0.1807,0.6655,0,2,Stable,Building
GL00065,Delivery Partner,41999,35413,2870,12905,135,21,Medium,0.8432,0.0683,0.2655,0.3644,1,3,Stable,Building
GL00066,Delivery Partner,41545,34000,4139,12744,109,17,Medium,0.8184,0.0996,0.2222,0.3748,1,1,Declining,Building
GL00067,Delivery Partner,35790,29150,2472,19751,119,30,Medium,0.8145,0.0691,0.2375,0.6776,3,0,Stable,Building
GL00068,Delivery Partner,43403,27439,5263,9748,118,20,Medium,0.6322,0.1213,0.1724,0.3553,5,0,Stable,Emerging
GL00069,Delivery Partner,34156,28762,4726,8214,134,15,Low,0.8421,0.1384,0.1467,0.2856,3,2,Stable,Building
GL00070,Delivery Partner,34508,15839,3983,9285,100,18,High,0.459,0.1154,0.2677,0.5862,2,1,Declining,Building
GL00071,Delivery Partner,32265,21795,4133,21952,92,17,Medium,0.6755,0.1281,0.1996,1.0072,2,0,Declining,Building
GL00072,Delivery Partner,36994,28355,2678,12737,121,22,Medium,0.7665,0.0724,0.291,0.4492,1,3,Declining,Building
GL00073,Delivery Partner,36154,24548,3349,14733,116,24,Medium,0.679,0.0926,0.1578,0.6002,3,0,Declining,Building
GL00074,Delivery Partner,33816,24496,6463,21079,114,15,Medium,0.7244,0.1911,0.2322,0.8605,3,0,Stable,Building
GL00075,Delivery Partner,44962,42835,2014,18959,92,17,Medium,0.9527,0.0448,0.2637,0.4426,0,2,Declining,Building
GL00076,Delivery Partner,37767,22637,7071,16557,76,29,Medium,0.5994,0.1872,0.2745,0.7314,4,0,Stable,Building
GL00077,Delivery Partner,36534,17130,3355,8764,116,27,Medium,0.4689,0.0918,0.2524,0.5116,5,0,Declining,Emerging
GL00078,Delivery Partner,43337,41755,1502,9369,94,18,Medium,0.9635,0.0347,0.2981,0.2244,2,0,Stable,Building
GL00079,Delivery Partner,42504,41615,844,8606,112,24,Medium,0.9791,0.0199,0.2984,0.2068,1,3,Stable,Building
GL00080,Delivery Partner,36538,30074,5891,19928,126,28,Medium,0.8231,0.1612,0.258,0.6626,1,3,Stable,Building
GL00081,Delivery Partner,40187,17943,3509,12293,125,27,Low,0.4465,0.0873,0.1707,0.6851,5,0,Declining,Emerging
GL00082,Delivery Partner,38127,36144,1883,9465,79,25,High,0.948,0.0494,0.1179,0.2619,2,2,Stable,Building
GL00083,Delivery Partner,38598,27068,7800,10852,115,23,Low,0.7013,0.2021,0.1245,0.4009,7,0,Declining,Emerging
GL00084,Delivery Partner,34384,22115,2800,12663,107,23,Low,0.6432,0.0814,0.1115,0.5726,5,2,Stable,Emerging
GL00085,Delivery Partner,36807,25382,3781,10978,128,26,Medium,0.6896,0.1027,0.1889,0.4325,1,3,Declining,Building
GL00086,Delivery Partner,43850,24898,3016,16248,104,29,High,0.5678,0.0688,0.1354,0.6526,5,2,Stable,Emerging
GL00087,Delivery Partner,41705,33389,4876,20619,86,15,Medium,0.8006,0.1169,0.1627,0.6175,0,2,Stable,Building
GL00088,Delivery Partner,44132,27317,2419,17315,107,26,Medium,0.619,0.0548,0.2081,0.6339,5,0,Declining,Emerging
GL00089,Delivery Partner,41736,19482,2754,15733,125,19,Medium,0.4668,0.066,0.1297,0.8076,7,0,Declining,Emerging
GL00090,Delivery Partner,39495,32125,2207,15481,94,19,Medium,0.8134,0.0559,0.2528,0.4819,0,1,Stable,Building
GL00091,Delivery Partner,35195,29356,4502,20470,80,20,Medium,0.8341,0.1279,0.1134,0.6973,2,1,Stable,Building
GL00092,Delivery Partner,32589,27446,2350,11514,114,17,High,0.8422,0.0721,0.1861,0.4195,1,3,Declining,Building
GL00093,Delivery Partner,33718,27749,4336,17629,108,30,Medium,0.823,0.1286,0.2804,0.6353,3,0,Declining,Building
GL00094,Delivery Partner,43766,30172,6032,16306,120,30,Medium,0.6894,0.1378,0.2217,0.5404,1,1,Stable,Building
GL00095,Delivery Partner,35113,18669,4947,20602,73,28,Medium,0.5317,0.1409,0.1393,1.1035,4,2,Stable,Building
GL00096,Delivery Partner,42617,40430,2027,15787,123,29,Medium,0.9487,0.0476,0.2118,0.3905,1,1,Declining,Building
GL00097,Delivery Partner,43221,40014,2009,13356,101,15,Medium,0.9258,0.0465,0.2582,0.3338,3,0,Declining,Building
GL00098,Delivery Partner,39267,30141,3068,17241,114,26,High,0.7676,0.0781,0.1906,0.572,1,3,Declining,Building
GL00099,Delivery Partner,35105,23716,6350,20536,95,19,Medium,0.6756,0.1809,0.1024,0.8659,2,3,Declining,Building
GL00100,Delivery Partner,39457,18959,3740,11552,112,25,High,0.4805,0.0948,0.203,0.6093,5,0,Declining,Emerging
GL00101,Delivery Partner,43382,31707,6210,10619,105,29,Low,0.7309,0.1431,0.1345,0.3349,3,3,Stable,Building
GL00102,Delivery Partner,32980,21077,3139,18620,77,18,Medium,0.6391,0.0952,0.2745,0.8834,4,0,Stable,Building
GL00103,Delivery Partner,43563,41546,1916,10937,101,16,Low,0.9537,0.044,0.2553,0.2633,1,3,Declining,Building
GL00104,Delivery Partner,37712,25357,4952,14715,98,21,Medium,0.6724,0.1313,0.1988,0.5803,0,2,Declining,Building
GL00105,Delivery Partner,35907,30061,2941,20622,134,24,Medium,0.8372,0.0819,0.1941,0.686,1,2,Stable,Building
GL00106,Delivery Partner,34844,23969,4488,16678,130,30,High,0.6879,0.1288,0.1181,0.6958,3,3,Declining,Building
GL00107,Delivery Partner,34547,21084,2717,18574,109,22,Medium,0.6103,0.0786,0.2113,0.881,3,2,Stable,Building
GL00108,Delivery Partner,39874,25172,5601,18990,82,30,Medium,0.6313,0.1405,0.1134,0.7544,4,2,Stable,Building
GL00109,Delivery Partner,37743,22226,2319,9549,76,16,Low,0.5889,0.0614,0.2299,0.4296,4,0,Stable,Building
GL00110,Delivery Partner,35282,27608,3392,17257,106,19,Medium,0.7825,0.0961,0.261,0.6251,3,0,Declining,Building
GL00111,Delivery Partner,40035,34005,5707,12992,96,17,Medium,0.8494,0.1426,0.2206,0.3821,0,1,Stable,Building
GL00112,Delivery Partner,41308,26759,5537,11877,105,21,Medium,0.6478,0.134,0.2035,0.4439,3,2,Declining,Building
GL00113,Delivery Partner,38164,20814,5283,11787,124,24,Medium,0.5454,0.1384,0.1216,0.5663,5,1,Declining,Emerging
GL00114,Delivery Partner,40242,28917,3909,15405,113,22,Medium,0.7186,0.0971,0.1014,0.5327,5,0,Declining,Emerging
GL00115,Delivery Partner,42363,24015,7974,19649,96,16,Medium,0.5669,0.1882,0.2824,0.8182,2,2,Declining,Building
GL00116,Delivery Partner,39442,19519,6002,13573,101,25,Medium,0.4949,0.1522,0.2927,0.6954,5,0,Stable,Emerging
GL00117,Delivery Partner,35185,19883,5980,11269,112,23,Low,0.5651,0.17,0.1617,0.5668,5,0,Declining,Emerging
GL00118,Delivery Partner,44045,28347,4335,12124,110,15,High,0.6436,0.0984,0.2758,0.4277,3,1,Stable,Building
GL00119,Delivery Partner,44303,32850,5198,17838,104,28,Low,0.7415,0.1173,0.2747,0.543,3,0,Declining,Building
GL00120,Delivery Partner,33492,19003,4327,9370,127,17,Medium,0.5674,0.1292,0.1812,0.4931,3,2,Declining,Building
GL00121,Delivery Partner,36530,32537,2768,9926,107,25,Medium,0.8907,0.0758,0.2952,0.3051,3,0,Declining,Building
GL00122,Delivery Partner,39684,25572,4145,9563,78,27,Low,0.6444,0.1045,0.19,0.374,2,2,Stable,Building
GL00123,Delivery Partner,41029,25130,3416,8586,130,17,Low,0.6125,0.0833,0.1278,0.3417,5,3,Stable,Emerging
GL00124,Delivery Partner,41614,34639,4263,10422,91,20,Low,0.8324,0.1024,0.2974,0.3009,0,2,Declining,Building
GL00125,Delivery Partner,40435,36282,2315,14507,114,25,Medium,0.8973,0.0573,0.1561,0.3998,1,2,Stable,Building
GL00126,Delivery Partner,34877,20814,2182,8447,138,25,Medium,0.5968,0.0626,0.2001,0.4058,3,2,Stable,Building
GL00127,Delivery Partner,38238,18228,7119,21560,89,15,Medium,0.4767,0.1862,0.2604,1.1828,4,0,Stable,Building
GL00128,Delivery Partner,42193,35045,4662,15436,116,16,Medium,0.8306,0.1105,0.2614,0.4405,1,1,Stable,Building
GL00129,Delivery Partner,32847,15861,6047,20977,86,23,Medium,0.4829,0.1841,0.2217,1.3226,2,2,Stable,Building
GL00130,Delivery Partner,37057,35385,1588,14729,75,17,Low,0.9549,0.0429,0.2279,0.4162,0,2,Stable,Building
GL00131,Delivery Partner,37846,31071,3704,20032,96,20,Medium,0.821,0.0979,0.2539,0.6447,0,1,Declining,Building
GL00132,Delivery Partner,32086,23005,2043,18370,103,26,Medium,0.717,0.0637,0.2163,0.7985,1,3,Declining,Building
GL00133,Delivery Partner,32949,21430,3121,17195,101,17,Medium,0.6504,0.0947,0.2225,0.8024,3,0,Stable,Building
GL00134,Delivery Partner,43636,22529,4058,14804,126,19,Low,0.5163,0.093,0.17,0.6571,3,1,Stable,Building
GL00135,Delivery Partner,42175,40213,1863,15413,105,23,Medium,0.9535,0.0442,0.1688,0.3833,1,2,Stable,Building
GL00136,Delivery Partner,44794,30419,4734,11114,70,19,Medium,0.6791,0.1057,0.2799,0.3654,0,3,Declining,Building
GL00137,Delivery Partner,32300,24415,7430,14097,138,17,High,0.7559,0.23,0.293,0.5774,3,1,Stable,Building
GL00138,Delivery Partner,41762,19281,4590,14134,99,23,Medium,0.4617,0.1099,0.2491,0.7331,4,0,Stable,Building
GL00139,Delivery Partner,33914,17289,7943,9337,71,18,Medium,0.5098,0.2342,0.2055,0.5401,4,1,Stable,Building
GL00140,Delivery Partner,36624,20549,2994,11772,125,23,Medium,0.5611,0.0817,0.1743,0.5729,3,1,Declining,Building
GL00141,Delivery Partner,42152,39867,2007,13664,140,22,Medium,0.9458,0.0476,0.1129,0.3427,5,0,Declining,Emerging
GL00142,Delivery Partner,36070,31900,3334,14053,87,15,Medium,0.8844,0.0924,0.1739,0.4405,0,1,Declining,Building
GL00143,Delivery Partner,38863,36060,2159,13609,77,28,Medium,0.9279,0.0556,0.177,0.3774,2,0,Declining,Building
GL00144,Delivery Partner,33705,16613,6832,12518,140,24,Medium,0.4929,0.2027,0.157,0.7535,7,0,Declining,Emerging
GL00145,Delivery Partner,40902,24909,7475,20336,97,25,Medium,0.609,0.1828,0.1655,0.8164,2,3,Stable,Building
GL00146,Delivery Partner,36976,20651,3937,18535,83,30,Medium,0.5585,0.1065,0.1097,0.8975,4,2,Stable,Building
GL00147,Delivery Partner,32632,22829,6053,16624,74,30,Medium,0.6996,0.1855,0.2559,0.7282,0,2,Declining,Building
GL00148,Delivery Partner,40431,39493,891,15348,72,24,Medium,0.9768,0.022,0.1781,0.3886,2,0,Stable,Building
GL00149,Delivery Partner,41202,26715,2129,11391,131,15,Low,0.6484,0.0517,0.239,0.4264,5,0,Declining,Emerging
GL00150,Delivery Partner,32476,23291,7146,19428,94,21,Low,0.7172,0.22,0.2165,0.8341,4,0,Declining,Building
GL00151,Delivery Partner,34633,21787,3235,17476,80,22,Low,0.6291,0.0934,0.2263,0.8021,4,0,Declining,Building
GL00152,Delivery Partner,37930,27404,5595,20146,91,24,Medium,0.7225,0.1475,0.1022,0.7351,4,0,Stable,Building
GL00153,Delivery Partner,42855,40930,1828,21016,80,20,Medium,0.9551,0.0427,0.1936,0.5135,0,2,Stable,Building
GL00154,Delivery Partner,36885,24598,7353,14944,112,24,Medium,0.6669,0.1993,0.1091,0.6075,3,3,Declining,Building
GL00155,Delivery Partner,37957,26148,3259,17648,95,24,Medium,0.6889,0.0859,0.1184,0.6749,2,1,Stable,Building
GL00156,Delivery Partner,43273,40555,2507,15604,97,23,Medium,0.9372,0.0579,0.2982,0.3848,2,0,Declining,Building
GL00157,Delivery Partner,39358,36744,2066,21199,140,17,Medium,0.9336,0.0525,0.1037,0.5769,3,3,Declining,Building
GL00158,Delivery Partner,37851,23569,3851,12173,131,17,Low,0.6227,0.1017,0.2309,0.5165,3,3,Stable,Building
GL00159,Delivery Partner,32774,26451,4644,13100,133,28,Medium,0.8071,0.1417,0.2394,0.4953,3,0,Declining,Building
GL00160,Delivery Partner,33854,28048,2596,8710,101,20,Medium,0.8285,0.0767,0.2478,0.3105,3,0,Declining,Building
GL00161,Delivery Partner,32420,18297,7867,19238,85,24,Medium,0.5644,0.2427,0.1435,1.0514,8,0,Stable,Ready
GL00162,Delivery Partner,41764,33766,3656,19319,103,19,Medium,0.8085,0.0875,0.2539,0.5721,1,1,Declining,Building
GL00163,Delivery Partner,35685,35288,377,20352,115,19,Medium,0.9889,0.0106,0.1192,0.5767,3,1,Declining,Building
GL00164,Delivery Partner,39370,33885,2001,12211,113,19,High,0.8607,0.0508,0.1827,0.3604,1,2,Stable,Building
GL00165,Delivery Partner,41583,27270,4772,9741,85,26,High,0.6558,0.1148,0.1145,0.3572,2,1,Stable,Building
GL00166,Delivery Partner,39018,29696,5367,13553,88,25,High,0.7611,0.1376,0.2025,0.4564,0,1,Declining,Building
GL00167,Delivery Partner,41319,38434,2213,21604,102,27,High,0.9302,0.0536,0.2617,0.5621,1,3,Stable,Building
GL00168,Delivery Partner,35569,27366,3090,13046,122,21,Low,0.7694,0.0869,0.2178,0.4767,1,1,Declining,Building
GL00169,Delivery Partner,35684,17321,5776,19084,86,30,Medium,0.4854,0.1619,0.1705,1.1018,2,1,Stable,Building
GL00170,Delivery Partner,41203,19068,5175,12026,75,27,Medium,0.4628,0.1256,0.1059,0.6307,4,2,Declining,Building
GL00171,Delivery Partner,44374,20527,7682,16779,99,23,Low,0.4626,0.1731,0.1778,0.8174,2,2,Stable,Building
GL00172,Delivery Partner,37091,25462,3232,19731,118,28,Medium,0.6865,0.0871,0.1108,0.7749,5,0,Stable,Emerging
GL00173,Delivery Partner,36811,21026,4678,14559,116,29,Low,0.5712,0.1271,0.1176,0.6924,5,2,Declining,Emerging
GL00174,Delivery Partner,34489,33499,940,21097,109,16,Medium,0.9713,0.0273,0.102,0.6298,5,0,Declining,Emerging
GL00175,Delivery Partner,35361,21089,4372,14650,92,24,Medium,0.5964,0.1236,0.108,0.6947,4,2,Declining,Building
GL00176,Delivery Partner,32433,16790,4586,13978,125,26,Medium,0.5177,0.1414,0.2333,0.8325,3,3,Declining,Building
GL00177,Delivery Partner,38348,26532,3374,17872,132,22,Medium,0.6919,0.088,0.1292,0.6736,3,3,Declining,Building
GL00178,Delivery Partner,34848,22459,7539,9365,102,27,Medium,0.6445,0.2163,0.2638,0.417,5,1,Stable,Emerging
GL00179,Delivery Partner,35651,19896,7938,16933,87,30,Medium,0.5581,0.2227,0.2923,0.8511,4,3,Declining,Building
GL00180,Delivery Partner,33497,19451,4679,15656,99,23,Medium,0.5807,0.1397,0.2577,0.8049,2,1,Declining,Building
GL00181,Delivery Partner,43516,39982,2877,9589,86,15,Low,0.9188,0.0661,0.2888,0.2398,0,1,Stable,Building
GL00182,Delivery Partner,33353,15319,6885,15941,90,17,Medium,0.4593,0.2064,0.1657,1.0406,4,3,Declining,Building
GL00183,Delivery Partner,39434,38523,865,20438,135,28,High,0.9769,0.0219,0.1102,0.5305,3,3,Stable,Building
GL00184,Delivery Partner,34590,30878,2058,19344,122,26,Low,0.8927,0.0595,0.1075,0.6265,5,0,Stable,Emerging
GL00185,Delivery Partner,43406,32806,7647,8651,93,20,Medium,0.7558,0.1762,0.2345,0.2637,0,2,Declining,Building
GL00186,Delivery Partner,42273,31933,5237,21802,124,20,Low,0.7554,0.1239,0.2124,0.6827,1,2,Declining,Building
GL00187,Delivery Partner,38513,28049,4034,18277,92,30,Low,0.7283,0.1047,0.1521,0.6516,2,0,Stable,Building
GL00188,Delivery Partner,36561,27073,3536,10262,140,18,Medium,0.7405,0.0967,0.2006,0.379,1,2,Declining,Building
GL00189,Delivery Partner,36286,27660,4833,21575,109,17,Low,0.7623,0.1332,0.1782,0.78,1,3,Stable,Building
GL00190,Delivery Partner,36416,31936,3601,11409,77,15,Low,0.877,0.0989,0.2733,0.3572,0,1,Declining,Building
GL00191,Delivery Partner,38405,37583,780,21418,82,16,Medium,0.9786,0.0203,0.1045,0.5699,2,2,Declining,Building
GL00192,Delivery Partner,40138,34261,5284,14558,133,26,Medium,0.8536,0.1316,0.1644,0.4249,1,1,Declining,Building
GL00193,Delivery Partner,41590,29865,6053,9918,137,23,Medium,0.7181,0.1455,0.1603,0.3321,1,2,Declining,Building
GL00194,Delivery Partner,38080,23419,3599,12907,83,30,Medium,0.615,0.0945,0.179,0.5511,2,1,Declining,Building
GL00195,Delivery Partner,38738,29444,6553,15445,123,29,High,0.7601,0.1692,0.1937,0.5246,1,3,Declining,Building
GL00196,Delivery Partner,40214,32299,6131,18928,134,17,Medium,0.8032,0.1525,0.2296,0.586,3,0,Declining,Building
GL00197,Delivery Partner,42987,24296,7151,8698,122,15,Medium,0.5652,0.1664,0.1068,0.358,5,2,Declining,Emerging
GL00198,Delivery Partner,38022,24007,3960,16096,82,27,High,0.6314,0.1042,0.2126,0.6705,4,0,Declining,Building
GL00199,Delivery Partner,33577,16388,2049,20883,89,30,Medium,0.4881,0.061,0.2421,1.2743,4,0,Stable,Building
GL00200,Delivery Partner,32540,22247,2434,13896,128,23,Medium,0.6837,0.0748,0.221,0.6246,1,1,Declining,Building
GL00201,Delivery Partner,44216,25004,6882,20585,120,30,Medium,0.5655,0.1556,0.1629,0.8233,3,1,Declining,Building
GL00202,Delivery Partner,39235,30077,2462,9503,80,29,High,0.7666,0.0628,0.1781,0.316,0,3,Stable,Building
GL00203,Delivery Partner,36738,16392,3153,12095,135,19,High,0.4462,0.0858,0.1078,0.7379,5,2,Stable,Emerging
GL00204,Delivery Partner,34131,19007,6627,12965,98,15,Medium,0.5569,0.1942,0.2648,0.6821,2,3,Declining,Building
GL00205,Delivery Partner,37105,25591,4356,11021,81,27,Medium,0.6897,0.1174,0.2004,0.4307,0,2,Declining,Building
GL00206,Delivery Partner,43862,32650,6089,18014,87,17,Medium,0.7444,0.1388,0.1811,0.5517,0,3,Declining,Building
GL00207,Delivery Partner,34491,16559,5502,14023,122,28,Medium,0.4801,0.1595,0.173,0.8469,3,1,Stable,Building
GL00208,Delivery Partner,36419,25555,4964,19038,121,18,Medium,0.7017,0.1363,0.2432,0.745,1,3,Declining,Building
GL00209,Delivery Partner,43979,40350,2220,19496,90,29,Medium,0.9175,0.0505,0.245,0.4832,0,2,Declining,Building
GL00210,Delivery Partner,42052,20681,4496,9176,127,30,Medium,0.4918,0.1069,0.1052,0.4437,5,3,Declining,Emerging
GL00211,Delivery Partner,36358,29166,5969,21269,121,20,Medium,0.8022,0.1642,0.1093,0.7292,5,0,Declining,Emerging
GL00212,Delivery Partner,40026,33073,6461,13221,118,26,Medium,0.8263,0.1614,0.1277,0.3998,3,3,Declining,Building
GL00213,Delivery Partner,39278,32486,4867,21322,133,23,Medium,0.8271,0.1239,0.101,0.6563,3,3,Stable,Building
GL00214,Delivery Partner,43584,21914,2354,14457,122,23,Medium,0.5028,0.054,0.1595,0.6597,3,3,Stable,Building
GL00215,Delivery Partner,36924,17062,6536,9086,116,28,Medium,0.4621,0.177,0.2995,0.5325,5,0,Declining,Emerging
GL00216,Delivery Partner,41755,26773,2551,14110,124,17,Medium,0.6412,0.0611,0.2614,0.527,3,1,Declining,Building
GL00217,Delivery Partner,44249,35726,5725,14903,133,18,Medium,0.8074,0.1294,0.1107,0.4171,3,1,Declining,Building
